Country,Inc_pw_us,TFP_K06_US,Measure,Year
Central African Republic,0.033,0.147,LF,2000
Chad,0.079,0.19,LF,1961
Chad,0.082,0.197,LF,1962
Chad,0.075,0.181,LF,1963
Chad,0.07,0.169,LF,1964
Chad,0.067,0.166,LF,1965
Chad,0.062,0.155,LF,1966
Chad,0.06,0.152,LF,1967
Chad,0.058,0.146,LF,1968
Chad,0.059,0.151,LF,1969
Chad,0.061,0.156,LF,1970
Chad,0.057,0.145,LF,1971
Chad,0.056,0.145,LF,1972
Chad,0.05,0.13,LF,1973
Chad,0.048,0.127,LF,1974
Chad,0.054,0.141,LF,1975
Chad,0.053,0.14,LF,1976
Chad,0.05,0.133,LF,1977
Chad,0.05,0.133,LF,1978
Chad,0.08,0.217,LF,1979
Chad,0.074,0.202,LF,1980
Chad,0.064,0.18,LF,1981
Chad,0.049,0.14,LF,1982
Chad,0.037,0.11,LF,1983
Chad,0.037,0.114,LF,1984
Chad,0.044,0.137,LF,1985
Chad,0.041,0.132,LF,1986
Chad,0.038,0.127,LF,1987
Chad,0.041,0.138,LF,1988
Chad,0.042,0.143,LF,1989
Chad,0.035,0.12,LF,1990
Chad,0.042,0.148,LF,1991
Chad,0.041,0.147,LF,1992
Chad,0.034,0.123,LF,1993
Chad,0.033,0.123,LF,1994
Chad,0.033,0.125,LF,1995
Chad,0.032,0.123,LF,1996
Chad,0.031,0.122,LF,1997
Chad,0.031,0.124,LF,1998
Chad,0.031,0.127,LF,1999
Chad,0.029,0.121,LF,2000
Chile,0.395,0.491,LF,1961
Chile,0.386,0.475,LF,1962
Chile,0.387,0.471,LF,1963
Chile,0.381,0.465,LF,1964
Chile,0.361,0.447,LF,1965
Chile,0.387,0.49,LF,1966
Chile,0.386,0.496,LF,1967
Chile,0.383,0.497,LF,1968
Chile,0.388,0.509,LF,1969
Chile,0.399,0.526,LF,1970
Chile,0.421,0.559,LF,1971
Chile,0.399,0.539,LF,1972
Chile,0.358,0.494,LF,1973
Chile,0.372,0.527,LF,1974
Chile,0.323,0.46,LF,1975
Chile,0.311,0.452,LF,1976
Chile,0.32,0.475,LF,1977
Chile,0.325,0.493,LF,1978
Chile,0.345,0.533,LF,1979
Chile,0.362,0.557,LF,1980
Chile,0.364,0.561,LF,1981
Chile,0.331,0.516,LF,1982
Chile,0.301,0.478,LF,1983
Chile,0.293,0.475,LF,1984
Chile,0.292,0.479,LF,1985
Chile,0.292,0.485,LF,1986
Chile,0.293,0.488,LF,1987
Chile,0.297,0.495,LF,1988
Chile,0.312,0.517,LF,1989
Chile,0.312,0.514,LF,1990
Chile,0.335,0.547,LF,1991
Chile,0.357,0.576,LF,1992
Chile,0.367,0.582,LF,1993
Chile,0.367,0.576,LF,1994
Chile,0.392,0.602,LF,1995
Chile,0.406,0.61,LF,1996
Chile,0.415,0.613,LF,1997
Chile,0.414,0.604,LF,1998
Chile,0.389,0.572,LF,1999
Chile,0.389,0.572,LF,2000
China,0.039,0.123,LF,1961
China,0.039,0.124,LF,1962
China,0.039,0.127,LF,1963
China,0.041,0.133,LF,1964
China,0.042,0.137,LF,1965
China,0.042,0.136,LF,1966
China,0.04,0.134,LF,1967
China,0.037,0.124,LF,1968
China,0.039,0.132,LF,1969
China,0.041,0.137,LF,1970
China,0.041,0.135,LF,1971
China,0.04,0.131,LF,1972
China,0.04,0.13,LF,1973
China,0.04,0.131,LF,1974
China,0.043,0.138,LF,1975
China,0.04,0.129,LF,1976
China,0.04,0.129,LF,1977
China,0.038,0.122,LF,1978
China,0.042,0.131,LF,1979
China,0.044,0.138,LF,1980
China,0.045,0.142,LF,1981
China,0.05,0.157,LF,1982
China,0.051,0.159,LF,1983
China,0.053,0.165,LF,1984
China,0.053,0.16,LF,1985
China,0.055,0.166,LF,1986
China,0.057,0.169,LF,1987
China,0.056,0.165,LF,1988
China,0.052,0.152,LF,1989
China,0.055,0.159,LF,1990
China,0.062,0.178,LF,1991
China,0.068,0.191,LF,1992
China,0.075,0.204,LF,1993
China,0.079,0.209,LF,1994
China,0.083,0.215,LF,1995
China,0.086,0.218,LF,1996
China,0.087,0.218,LF,1997
China,0.089,0.221,LF,1998
China,0.091,0.222,LF,1999
China,0.096,0.232,LF,2000
China (Hong Kong SAR),0.265,0.354,LF,1961
China (Hong Kong SAR),0.276,0.366,LF,1962
China (Hong Kong SAR),0.316,0.411,LF,1963
China (Hong Kong SAR),0.33,0.42,LF,1964
China (Hong Kong SAR),0.356,0.444,LF,1965
China (Hong Kong SAR),0.357,0.442,LF,1966
China (Hong Kong SAR),0.349,0.434,LF,1967
China (Hong Kong SAR),0.343,0.429,LF,1968
China (Hong Kong SAR),0.369,0.463,LF,1969
China (Hong Kong SAR),0.406,0.507,LF,1970
China (Hong Kong SAR),0.421,0.524,LF,1971
China (Hong Kong SAR),0.432,0.537,LF,1972
China (Hong Kong SAR),0.449,0.56,LF,1973
China (Hong Kong SAR),0.449,0.561,LF,1974
China (Hong Kong SAR),0.451,0.56,LF,1975
China (Hong Kong SAR),0.485,0.597,LF,1976
China (Hong Kong SAR),0.513,0.625,LF,1977
China (Hong Kong SAR),0.526,0.638,LF,1978
China (Hong Kong SAR),0.526,0.646,LF,1979
China (Hong Kong SAR),0.578,0.696,LF,1980
China (Hong Kong SAR),0.61,0.722,LF,1981
China (Hong Kong SAR),0.646,0.753,LF,1982
China (Hong Kong SAR),0.652,0.751,LF,1983
China (Hong Kong SAR),0.65,0.749,LF,1984
China (Hong Kong SAR),0.628,0.724,LF,1985
China (Hong Kong SAR),0.669,0.769,LF,1986
China (Hong Kong SAR),0.723,0.824,LF,1987
China (Hong Kong SAR),0.75,0.846,LF,1988
China (Hong Kong SAR),0.739,0.833,LF,1989
China (Hong Kong SAR),0.759,0.847,LF,1990
China (Hong Kong SAR),0.818,0.898,LF,1991
China (Hong Kong SAR),0.852,0.921,LF,1992
China (Hong Kong SAR),0.877,0.941,LF,1993
China (Hong Kong SAR),0.884,0.937,LF,1994
China (Hong Kong SAR),0.885,0.926,LF,1995
China (Hong Kong SAR),0.856,0.895,LF,1996
China (Hong Kong SAR),0.863,0.891,LF,1997
China (Hong Kong SAR),0.778,0.803,LF,1998
China (Hong Kong SAR),0.764,0.796,LF,1999
China (Hong Kong SAR),0.798,0.834,LF,2000
China (Taiwan province),0.132,0.33,LF,1961
China (Taiwan province),0.132,0.326,LF,1962
China (Taiwan province),0.136,0.333,LF,1963
China (Taiwan province),0.143,0.344,LF,1964
China (Taiwan province),0.147,0.348,LF,1965
China (Taiwan province),0.149,0.348,LF,1966
China (Taiwan province),0.16,0.363,LF,1967
China (Taiwan province),0.164,0.362,LF,1968
China (Taiwan province),0.172,0.369,LF,1969
China (Taiwan province),0.19,0.395,LF,1970
China (Taiwan province),0.206,0.414,LF,1971
China (Taiwan province),0.219,0.429,LF,1972
China (Taiwan province),0.231,0.441,LF,1973
China (Taiwan province),0.233,0.428,LF,1974
China (Taiwan province),0.248,0.443,LF,1975
China (Taiwan province),0.263,0.458,LF,1976
China (Taiwan province),0.272,0.466,LF,1977
China (Taiwan province),0.291,0.491,LF,1978
China (Taiwan province),0.303,0.5,LF,1979
China (Taiwan province),0.323,0.522,LF,1980
China (Taiwan province),0.33,0.527,LF,1981
China (Taiwan province),0.349,0.551,LF,1982
China (Taiwan province),0.359,0.563,LF,1983
China (Taiwan province),0.361,0.566,LF,1984
China (Taiwan province),0.364,0.571,LF,1985
China (Taiwan province),0.391,0.614,LF,1986
China (Taiwan province),0.423,0.656,LF,1987
China (Taiwan province),0.434,0.664,LF,1988
China (Taiwan province),0.452,0.682,LF,1989
China (Taiwan province),0.465,0.692,LF,1990
China (Taiwan province),0.51,0.739,LF,1991
China (Taiwan province),0.533,0.753,LF,1992
China (Taiwan province),0.56,0.772,LF,1993
China (Taiwan province),0.579,0.782,LF,1994
China (Taiwan province),0.602,0.8,LF,1995
China (Taiwan province),0.622,0.813,LF,1996
China (Taiwan province),0.636,0.819,LF,1997
China (Taiwan province),0.642,0.817,LF,1998
China (Taiwan province),0.65,0.823,LF,1999
China (Taiwan province),0.657,0.824,LF,2000
Colombia,0.204,0.372,LF,1961
Colombia,0.201,0.369,LF,1962
Colombia,0.197,0.365,LF,1963
Colombia,0.198,0.369,LF,1964
Colombia,0.186,0.351,LF,1965
Colombia,0.183,0.35,LF,1966
Colombia,0.184,0.355,LF,1967
Colombia,0.184,0.355,LF,1968
Colombia,0.188,0.365,LF,1969
Colombia,0.199,0.385,LF,1970
Colombia,0.203,0.392,LF,1971
Colombia,0.206,0.398,LF,1972
Colombia,0.205,0.399,LF,1973
Colombia,0.214,0.416,LF,1974
Colombia,0.223,0.432,LF,1975
Colombia,0.217,0.421,LF,1976
Colombia,0.213,0.414,LF,1977
Colombia,0.217,0.425,LF,1978
Colombia,0.221,0.434,LF,1979
Colombia,0.228,0.449,LF,1980
Colombia,0.224,0.442,LF,1981
Colombia,0.23,0.452,LF,1982
Colombia,0.22,0.432,LF,1983
Colombia,0.207,0.41,LF,1984
Colombia,0.205,0.409,LF,1985
Colombia,0.206,0.414,LF,1986
Colombia,0.207,0.418,LF,1987
Colombia,0.203,0.413,LF,1988
Colombia,0.201,0.412,LF,1989
Colombia,0.204,0.421,LF,1990
Colombia,0.211,0.436,LF,1991
Colombia,0.21,0.435,LF,1992
Colombia,0.211,0.433,LF,1993
Colombia,0.211,0.429,LF,1994
Colombia,0.215,0.434,LF,1995
Colombia,0.213,0.426,LF,1996
Colombia,0.209,0.419,LF,1997
Colombia,0.2,0.404,LF,1998
Colombia,0.185,0.383,LF,1999
Colombia,0.178,0.375,LF,2000
Comoros,0.132,0.445,LF,1961
Comoros,0.129,0.42,LF,1962
Comoros,0.143,0.454,LF,1963
Comoros,0.144,0.445,LF,1964
Comoros,0.126,0.383,LF,1965
Comoros,0.129,0.381,LF,1966
Comoros,0.143,0.413,LF,1967
Comoros,0.141,0.405,LF,1968
Comoros,0.135,0.387,LF,1969
Comoros,0.125,0.352,LF,1970
Comoros,0.134,0.369,LF,1971
Comoros,0.126,0.342,LF,1972
Comoros,0.122,0.328,LF,1973
Comoros,0.127,0.337,LF,1974
Comoros,0.124,0.325,LF,1975
Comoros,0.098,0.26,LF,1976
Comoros,0.095,0.255,LF,1977
Comoros,0.1,0.273,LF,1978
Comoros,0.098,0.271,LF,1979
Comoros,0.099,0.272,LF,1980
Comoros,0.102,0.282,LF,1981
Comoros,0.109,0.296,LF,1982
Comoros,0.108,0.294,LF,1983
Comoros,0.1,0.269,LF,1984
Comoros,0.102,0.276,LF,1985
Comoros,0.103,0.281,LF,1986
Comoros,0.1,0.275,LF,1987
Comoros,0.1,0.278,LF,1988
Comoros,0.097,0.275,LF,1989
Comoros,0.09,0.259,LF,1990
Comoros,0.079,0.23,LF,1991
Comoros,0.082,0.238,LF,1992
Comoros,0.082,0.242,LF,1993
Comoros,0.074,0.222,LF,1994
Comoros,0.067,0.203,LF,1995
Comoros,0.062,0.191,LF,1996
Comoros,0.063,0.199,LF,1997
Comoros,0.059,0.19,LF,1998
Comoros,0.058,0.192,LF,1999
Comoros,0.054,0.185,LF,2000
Congo,0.039,0.094,LF,1961
Congo,0.038,0.091,LF,1962
Congo,0.039,0.094,LF,1963
Congo,0.039,0.096,LF,1964
Congo,0.039,0.096,LF,1965
Congo,0.035,0.087,LF,1966
Congo,0.032,0.079,LF,1967
Congo,0.034,0.084,LF,1968
Congo,0.037,0.09,LF,1969
Congo,0.042,0.103,LF,1970
Congo,0.044,0.107,LF,1971
Congo,0.045,0.11,LF,1972
Congo,0.046,0.112,LF,1973
Congo,0.05,0.119,LF,1974
Congo,0.053,0.124,LF,1975
Congo,0.052,0.121,LF,1976
Congo,0.048,0.114,LF,1977
Congo,0.051,0.121,LF,1978
Congo,0.057,0.139,LF,1979
Congo,0.063,0.155,LF,1980
Congo,0.062,0.149,LF,1981
Congo,0.07,0.161,LF,1982
Congo,0.087,0.195,LF,1983
Congo,0.092,0.206,LF,1984
Congo,0.087,0.195,LF,1985
Congo,0.086,0.194,LF,1986
Congo,0.085,0.196,LF,1987
Congo,0.084,0.199,LF,1988
Congo,0.085,0.206,LF,1989
Congo,0.079,0.197,LF,1990
Congo,0.081,0.207,LF,1991
Congo,0.083,0.215,LF,1992
Congo,0.074,0.198,LF,1993
Congo,0.063,0.17,LF,1994
Congo,0.064,0.177,LF,1995
Congo,0.061,0.174,LF,1996
Congo,0.064,0.186,LF,1997
Congo,0.061,0.184,LF,1998
Congo,0.057,0.177,LF,1999
Congo,0.057,0.185,LF,2000
Costa Rica,0.356,0.566,LF,1961
Costa Rica,0.353,0.56,LF,1962
Costa Rica,0.351,0.558,LF,1963
Costa Rica,0.339,0.546,LF,1964
Costa Rica,0.343,0.556,LF,1965
Costa Rica,0.336,0.549,LF,1966
Costa Rica,0.339,0.554,LF,1967
Costa Rica,0.336,0.554,LF,1968
Costa Rica,0.334,0.552,LF,1969
Costa Rica,0.355,0.582,LF,1970
Costa Rica,0.355,0.575,LF,1971
Costa Rica,0.353,0.572,LF,1972
Costa Rica,0.35,0.565,LF,1973
Costa Rica,0.364,0.586,LF,1974
Costa Rica,0.376,0.601,LF,1975
Costa Rica,0.367,0.581,LF,1976
Costa Rica,0.373,0.587,LF,1977
Costa Rica,0.366,0.575,LF,1978
Costa Rica,0.364,0.571,LF,1979
Costa Rica,0.359,0.561,LF,1980
Costa Rica,0.328,0.521,LF,1981
Costa Rica,0.308,0.498,LF,1982
Costa Rica,0.297,0.486,LF,1983
Costa Rica,0.287,0.477,LF,1984
Costa Rica,0.277,0.465,LF,1985
Costa Rica,0.277,0.465,LF,1986
Costa Rica,0.271,0.457,LF,1987
Costa Rica,0.264,0.447,LF,1988
Costa Rica,0.263,0.447,LF,1989
Costa Rica,0.263,0.447,LF,1990
Costa Rica,0.259,0.445,LF,1991
Costa Rica,0.258,0.444,LF,1992
Costa Rica,0.258,0.444,LF,1993
Costa Rica,0.249,0.429,LF,1994
Costa Rica,0.246,0.425,LF,1995
Costa Rica,0.232,0.405,LF,1996
Costa Rica,0.224,0.397,LF,1997
Costa Rica,0.229,0.407,LF,1998
Costa Rica,0.239,0.428,LF,1999
Costa Rica,0.23,0.418,LF,2000
Cote d'Ivoire,0.098,0.282,LF,1961
Cote d'Ivoire,0.098,0.281,LF,1962
Cote d'Ivoire,0.105,0.296,LF,1963
Cote d'Ivoire,0.111,0.303,LF,1964
Cote d'Ivoire,0.099,0.267,LF,1965
Cote d'Ivoire,0.105,0.278,LF,1966
Cote d'Ivoire,0.108,0.283,LF,1967
Cote d'Ivoire,0.114,0.298,LF,1968
Cote d'Ivoire,0.118,0.307,LF,1969
Cote d'Ivoire,0.126,0.321,LF,1970
Cote d'Ivoire,0.135,0.341,LF,1971
Cote d'Ivoire,0.132,0.333,LF,1972
Cote d'Ivoire,0.128,0.32,LF,1973
Cote d'Ivoire,0.132,0.328,LF,1974
Cote d'Ivoire,0.148,0.364,LF,1975
Cote d'Ivoire,0.153,0.371,LF,1976
Cote d'Ivoire,0.148,0.349,LF,1977
Cote d'Ivoire,0.152,0.351,LF,1978
Cote d'Ivoire,0.153,0.349,LF,1979
Cote d'Ivoire,0.132,0.301,LF,1980
Cote d'Ivoire,0.133,0.306,LF,1981
Cote d'Ivoire,0.138,0.319,LF,1982
Cote d'Ivoire,0.129,0.304,LF,1983
Cote d'Ivoire,0.12,0.291,LF,1984
Cote d'Ivoire,0.117,0.292,LF,1985
Cote d'Ivoire,0.114,0.289,LF,1986
Cote d'Ivoire,0.11,0.287,LF,1987
Cote d'Ivoire,0.105,0.278,LF,1988
Cote d'Ivoire,0.104,0.282,LF,1989
Cote d'Ivoire,0.1,0.28,LF,1990
Cote d'Ivoire,0.101,0.289,LF,1991
Cote d'Ivoire,0.096,0.281,LF,1992
Cote d'Ivoire,0.093,0.277,LF,1993
Cote d'Ivoire,0.086,0.26,LF,1994
Cote d'Ivoire,0.087,0.27,LF,1995
Cote d'Ivoire,0.087,0.272,LF,1996
Cote d'Ivoire,0.083,0.268,LF,1997
Cote d'Ivoire,0.083,0.272,LF,1998
Cote d'Ivoire,0.078,0.26,LF,1999
Cote d'Ivoire,0.073,0.246,LF,2000
Cyprus,0.259,0.32,LF,1961
Cyprus,0.276,0.337,LF,1962
Cyprus,0.28,0.34,LF,1963
Cyprus,0.239,0.292,LF,1964
Cyprus,0.272,0.332,LF,1965
Cyprus,0.275,0.336,LF,1966
Cyprus,0.301,0.367,LF,1967
Cyprus,0.303,0.369,LF,1968
Cyprus,0.324,0.391,LF,1969
Cyprus,0.328,0.392,LF,1970
Cyprus,0.355,0.419,LF,1971
Cyprus,0.36,0.423,LF,1972
Cyprus,0.353,0.414,LF,1973
Cyprus,0.296,0.351,LF,1974
Cyprus,0.257,0.308,LF,1975
Cyprus,0.293,0.354,LF,1976
Cyprus,0.323,0.392,LF,1977
Cyprus,0.33,0.401,LF,1978
Cyprus,0.353,0.429,LF,1979
Cyprus,0.378,0.456,LF,1980
Cyprus,0.379,0.459,LF,1981
Cyprus,0.416,0.502,LF,1982
Cyprus,0.421,0.507,LF,1983
Cyprus,0.421,0.508,LF,1984
Cyprus,0.426,0.515,LF,1985
Cyprus,0.428,0.52,LF,1986
Cyprus,0.448,0.545,LF,1987
Cyprus,0.468,0.57,LF,1988
Cyprus,0.487,0.591,LF,1989
Cyprus,0.517,0.626,LF,1990
Cyprus,0.529,0.637,LF,1991
Cyprus,0.559,0.669,LF,1992
Cyprus,0.541,0.648,LF,1993
Cyprus,0.551,0.663,LF,1994
Cyprus,0.618,0.742,LF,1995
Cyprus,0.596,0.717,LF,1996
Cyprus,0.584,0.703,LF,1997
Cyprus,0.594,0.713,LF,1998
Cyprus,0.601,0.721,LF,1999
Cyprus,0.608,0.729,LF,2000
Dem.Rep.of the Congo,0.047,0.176,LF,1961
Dem.Rep.of the Congo,0.056,0.214,LF,1962
Dem.Rep.of the Congo,0.053,0.207,LF,1963
Dem.Rep.of the Congo,0.048,0.188,LF,1964
Dem.Rep.of the Congo,0.046,0.182,LF,1965
Dem.Rep.of the Congo,0.046,0.186,LF,1966
Dem.Rep.of the Congo,0.045,0.184,LF,1967
Dem.Rep.of the Congo,0.046,0.192,LF,1968
Dem.Rep.of the Congo,0.047,0.198,LF,1969
Dem.Rep.of the Congo,0.048,0.203,LF,1970
Dem.Rep.of the Congo,0.047,0.197,LF,1971
Dem.Rep.of the Congo,0.042,0.176,LF,1972
Dem.Rep.of the Congo,0.043,0.181,LF,1973
Dem.Rep.of the Congo,0.045,0.19,LF,1974
Dem.Rep.of the Congo,0.043,0.18,LF,1975
Dem.Rep.of the Congo,0.038,0.16,LF,1976
Dem.Rep.of the Congo,0.034,0.144,LF,1977
Dem.Rep.of the Congo,0.032,0.136,LF,1978
Dem.Rep.of the Congo,0.029,0.127,LF,1979
Dem.Rep.of the Congo,0.029,0.126,LF,1980
Dem.Rep.of the Congo,0.03,0.128,LF,1981
Dem.Rep.of the Congo,0.031,0.134,LF,1982
Dem.Rep.of the Congo,0.029,0.125,LF,1983
Dem.Rep.of the Congo,0.027,0.119,LF,1984
Dem.Rep.of the Congo,0.026,0.114,LF,1985
Dem.Rep.of the Congo,0.026,0.115,LF,1986
Dem.Rep.of the Congo,0.025,0.113,LF,1987
Dem.Rep.of the Congo,0.025,0.111,LF,1988
Dem.Rep.of the Congo,0.022,0.1,LF,1989
Dem.Rep.of the Congo,0.022,0.102,LF,1990
Dem.Rep.of the Congo,0.019,0.089,LF,1991
Dem.Rep.of the Congo,0.019,0.095,LF,1992
Dem.Rep.of the Congo,0.016,0.08,LF,1993
Dem.Rep.of the Congo,0.012,0.064,LF,1994
Dem.Rep.of the Congo,0.012,0.063,LF,1995
Dem.Rep.of the Congo,0.011,0.062,LF,1996
Dem.Rep.of the Congo,0.01,0.056,LF,1997
Dem.Rep.of the Congo,0.005,0.028,LF,1998
Dem.Rep.of the Congo,0.005,0.029,LF,1999
Dem.Rep.of the Congo,0.004,0.025,LF,2000
Denmark,0.836,0.827,LF,1961
Denmark,0.84,0.816,LF,1962
Denmark,0.806,0.778,LF,1963
Denmark,0.844,0.804,LF,1964
Denmark,0.83,0.784,LF,1965
Denmark,0.806,0.759,LF,1966
Denmark,0.819,0.767,LF,1967
Denmark,0.812,0.757,LF,1968
Denmark,0.843,0.78,LF,1969
Denmark,0.864,0.793,LF,1970
Denmark,0.857,0.781,LF,1971
Denmark,0.854,0.776,LF,1972
Denmark,0.837,0.76,LF,1973
Denmark,0.824,0.749,LF,1974
Denmark,0.825,0.749,LF,1975
Denmark,0.839,0.76,LF,1976
Denmark,0.805,0.733,LF,1977
Denmark,0.778,0.715,LF,1978
Denmark,0.783,0.726,LF,1979
Denmark,0.78,0.73,LF,1980
Denmark,0.743,0.708,LF,1981
Denmark,0.797,0.764,LF,1982
Denmark,0.783,0.756,LF,1983
Denmark,0.757,0.74,LF,1984
Denmark,0.765,0.752,LF,1985
Denmark,0.776,0.765,LF,1986
Denmark,0.748,0.741,LF,1987
Denmark,0.741,0.738,LF,1988
Denmark,0.719,0.721,LF,1989
Denmark,0.715,0.721,LF,1990
Denmark,0.74,0.745,LF,1991
Denmark,0.731,0.737,LF,1992
Denmark,0.719,0.728,LF,1993
Denmark,0.738,0.751,LF,1994
Denmark,0.748,0.764,LF,1995
Denmark,0.749,0.767,LF,1996
Denmark,0.752,0.77,LF,1997
Denmark,0.754,0.773,LF,1998
Denmark,0.748,0.771,LF,1999
Denmark,0.748,0.773,LF,2000
Dominican Republic,0.186,0.395,LF,1961
Dominican Republic,0.204,0.435,LF,1962
Dominican Republic,0.204,0.432,LF,1963
Dominican Republic,0.201,0.421,LF,1964
Dominican Republic,0.173,0.372,LF,1965
Dominican Republic,0.174,0.376,LF,1966
Dominican Republic,0.173,0.373,LF,1967
Dominican Republic,0.161,0.35,LF,1968
Dominican Republic,0.168,0.363,LF,1969
Dominican Republic,0.195,0.413,LF,1970
Dominican Republic,0.202,0.422,LF,1971
Dominican Republic,0.206,0.424,LF,1972
Dominican Republic,0.213,0.432,LF,1973
Dominican Republic,0.225,0.445,LF,1974
Dominican Republic,0.235,0.45,LF,1975
Dominican Republic,0.231,0.436,LF,1976
Dominican Republic,0.228,0.426,LF,1977
Dominican Republic,0.22,0.409,LF,1978
Dominican Republic,0.222,0.413,LF,1979
Dominican Republic,0.234,0.43,LF,1980
Dominican Republic,0.241,0.446,LF,1981
Dominican Republic,0.253,0.471,LF,1982
Dominican Republic,0.247,0.462,LF,1983
Dominican Republic,0.224,0.425,LF,1984
Dominican Republic,0.215,0.414,LF,1985
Dominican Republic,0.211,0.411,LF,1986
Dominican Republic,0.208,0.404,LF,1987
Dominican Republic,0.205,0.399,LF,1988
Dominican Republic,0.2,0.391,LF,1989
Dominican Republic,0.187,0.368,LF,1990
Dominican Republic,0.191,0.376,LF,1991
Dominican Republic,0.195,0.384,LF,1992
Dominican Republic,0.201,0.391,LF,1993
Dominican Republic,0.204,0.398,LF,1994
Dominican Republic,0.211,0.414,LF,1995
Dominican Republic,0.218,0.429,LF,1996
Dominican Republic,0.238,0.467,LF,1997
Dominican Republic,0.241,0.473,LF,1998
Dominican Republic,0.246,0.483,LF,1999
Dominican Republic,0.251,0.492,LF,2000
Ecuador,0.195,0.29,LF,1961
Ecuador,0.189,0.282,LF,1962
Ecuador,0.186,0.279,LF,1963
Ecuador,0.189,0.284,LF,1964
Ecuador,0.18,0.273,LF,1965
Ecuador,0.171,0.263,LF,1966
Ecuador,0.178,0.274,LF,1967
Ecuador,0.177,0.272,LF,1968
Ecuador,0.173,0.269,LF,1969
Ecuador,0.184,0.286,LF,1970
Ecuador,0.187,0.288,LF,1971
Ecuador,0.198,0.307,LF,1972
Ecuador,0.225,0.352,LF,1973
Ecuador,0.25,0.388,LF,1974
Ecuador,0.274,0.416,LF,1975
Ecuador,0.277,0.418,LF,1976
Ecuador,0.285,0.425,LF,1977
Ecuador,0.283,0.419,LF,1978
Ecuador,0.285,0.421,LF,1979
Ecuador,0.3,0.439,LF,1980
Ecuador,0.295,0.436,LF,1981
Ecuador,0.302,0.445,LF,1982
Ecuador,0.271,0.404,LF,1983
Ecuador,0.25,0.382,LF,1984
Ecuador,0.243,0.377,LF,1985
Ecuador,0.235,0.371,LF,1986
Ecuador,0.21,0.336,LF,1987
Ecuador,0.215,0.351,LF,1988
Ecuador,0.202,0.336,LF,1989
Ecuador,0.199,0.337,LF,1990
Ecuador,0.206,0.351,LF,1991
Ecuador,0.201,0.346,LF,1992
Ecuador,0.196,0.341,LF,1993
Ecuador,0.192,0.337,LF,1994
Ecuador,0.188,0.334,LF,1995
Ecuador,0.181,0.327,LF,1996
Ecuador,0.176,0.322,LF,1997
Ecuador,0.167,0.309,LF,1998
Ecuador,0.145,0.277,LF,1999
Ecuador,0.14,0.273,LF,2000
Egypt,0.142,0.418,LF,1961
Egypt,0.136,0.395,LF,1962
Egypt,0.131,0.375,LF,1963
Egypt,0.146,0.41,LF,1964
Egypt,0.14,0.392,LF,1965
Egypt,0.131,0.368,LF,1966
Egypt,0.134,0.376,LF,1967
Egypt,0.137,0.39,LF,1968
Egypt,0.139,0.397,LF,1969
Egypt,0.146,0.42,LF,1970
Egypt,0.151,0.436,LF,1971
Egypt,0.143,0.419,LF,1972
Egypt,0.134,0.396,LF,1973
Egypt,0.122,0.356,LF,1974
Egypt,0.121,0.339,LF,1975
Egypt,0.128,0.349,LF,1976
Egypt,0.136,0.362,LF,1977
Egypt,0.133,0.348,LF,1978
Egypt,0.139,0.357,LF,1979
Egypt,0.157,0.398,LF,1980
Egypt,0.155,0.391,LF,1981
Egypt,0.167,0.414,LF,1982
Egypt,0.169,0.411,LF,1983
Egypt,0.163,0.394,LF,1984
Egypt,0.164,0.394,LF,1985
Egypt,0.167,0.4,LF,1986
Egypt,0.168,0.406,LF,1987
Egypt,0.164,0.399,LF,1988
Egypt,0.167,0.41,LF,1989
Egypt,0.172,0.427,LF,1990
Egypt,0.183,0.456,LF,1991
Egypt,0.182,0.459,LF,1992
Egypt,0.182,0.465,LF,1993
Egypt,0.179,0.466,LF,1994
Egypt,0.177,0.468,LF,1995
Egypt,0.176,0.47,LF,1996
Egypt,0.177,0.478,LF,1997
Egypt,0.174,0.474,LF,1998
Egypt,0.173,0.475,LF,1999
Egypt,0.17,0.472,LF,2000
El Salvador,0.34,0.688,LF,1961
El Salvador,0.354,0.715,LF,1962
El Salvador,0.348,0.7,LF,1963
El Salvador,0.347,0.688,LF,1964
El Salvador,0.339,0.671,LF,1965
El Salvador,0.334,0.66,LF,1966
El Salvador,0.341,0.676,LF,1967
El Salvador,0.329,0.663,LF,1968
El Salvador,0.323,0.66,LF,1969
El Salvador,0.327,0.671,LF,1970
El Salvador,0.319,0.653,LF,1971
El Salvador,0.321,0.661,LF,1972
El Salvador,0.314,0.647,LF,1973
El Salvador,0.32,0.653,LF,1974
El Salvador,0.336,0.68,LF,1975
El Salvador,0.335,0.672,LF,1976
El Salvador,0.332,0.656,LF,1977
El Salvador,0.33,0.646,LF,1978
El Salvador,0.309,0.609,LF,1979
El Salvador,0.278,0.554,LF,1980
El Salvador,0.244,0.496,LF,1981
El Salvador,0.236,0.487,LF,1982
El Salvador,0.23,0.482,LF,1983
El Salvador,0.215,0.461,LF,1984
El Salvador,0.21,0.459,LF,1985
El Salvador,0.2,0.446,LF,1986
El Salvador,0.195,0.442,LF,1987
El Salvador,0.189,0.434,LF,1988
El Salvador,0.179,0.415,LF,1989
El Salvador,0.174,0.41,LF,1990
El Salvador,0.178,0.421,LF,1991
El Salvador,0.179,0.425,LF,1992
El Salvador,0.183,0.435,LF,1993
El Salvador,0.181,0.431,LF,1994
El Salvador,0.184,0.437,LF,1995
