TIME,GEO,AGE,UNIT,SEX,Value
2016,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,10
2016,Belgium,Total,Percentage of active population,Total,8
2016,Bulgaria,Total,Percentage of active population,Total,7.7
2016,Czech Republic,Total,Percentage of active population,Total,4
2016,Denmark,Total,Percentage of active population,Total,6.2
2016,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,4.1
2016,Estonia,Total,Percentage of active population,Total,6.8
2016,Ireland,Total,Percentage of active population,Total,7.9
2016,Greece,Total,Percentage of active population,Total,23.5
2016,Spain,Total,Percentage of active population,Total,19.6
2016,France,Total,Percentage of active population,Total,10
2016,Croatia,Total,Percentage of active population,Total,12.8
2016,Italy,Total,Percentage of active population,Total, 
2016,Cyprus,Total,Percentage of active population,Total,13.3
2016,Latvia,Total,Percentage of active population,Total,9.6
2016,Lithuania,Total,Percentage of active population,Total,7.9
2016,Luxembourg,Total,Percentage of active population,Total,6.3
2016,Hungary,Total,Percentage of active population,Total,5.1
2016,Malta,Total,Percentage of active population,Total,4.8
2016,Netherlands,Total,Percentage of active population,Total,6
2016,Austria,Total,Percentage of active population,Total,6
2016,Poland,Total,Percentage of active population,Total,6.2
2016,Portugal,Total,Percentage of active population,Total,11.2
2016,Romania,Total,Percentage of active population,Total,5.9
2016,Slovenia,Total,Percentage of active population,Total,7.9
2016,Slovakia,Total,Percentage of active population,Total,9.7
2016,Finland,Total,Percentage of active population,Total,8.8
2016,Sweden,Total,Percentage of active population,Total,6.9
2016,United Kingdom,Total,Percentage of active population,Total,4.8
