TIME,GEO,INDIC_ET,SITC06,PARTNER,Value
2014,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),13.1
2014,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2014,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.4
2014,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2014,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.3
2014,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2014,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2014,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2014,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.5
2014,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.2
2015,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.4
2015,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2015,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.9
2015,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.7
2015,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.6
2015,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2015,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2015,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2015,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.4
2015,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2015,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2015,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.4
2015,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2015,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2015,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2015,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2015,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.4
2015,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2015,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),12.7
2015,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.1
2015,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.6
2015,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2015,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.3
2015,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2015,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2015,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1
2015,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.4
2015,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6
2016,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.3
2016,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2016,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),4
2016,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.7
2016,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.8
2016,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2016,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2016,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2016,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.6
2016,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2016,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2016,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.5
2016,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2016,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2016,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2016,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2016,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.4
2016,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2016,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),12.5
2016,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.1
2016,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.7
2016,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2016,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.4
2016,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2016,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2016,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1
2016,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.4
2016,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.6
