TIME,GEO,NA_ITEM,SECTOR,UNIT,Value
2003Q3,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.1
2003Q3,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.2
2003Q3,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.3
2003Q3,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.3
2003Q3,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105.5
2003Q3,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.4
2003Q3,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.2
2003Q3,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.9
2003Q3,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.4
2003Q3,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.5
2003Q3,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),31.3
2003Q3,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),99.9
2003Q3,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.5
2003Q3,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.3
2003Q3,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.2
2003Q3,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.7
2003Q3,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.5
2003Q3,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),14.2
2003Q3,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.5
2003Q3,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),7
2003Q3,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59
2003Q3,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.5
2003Q3,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.1
2003Q3,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.6
2003Q3,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.5
2003Q3,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.7
2003Q3,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.8
2003Q3,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.8
2003Q3,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.8
2003Q3,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.4
2003Q3,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.1
2003Q3,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.1
2003Q3,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2003Q3,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),39.4
2003Q4,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.4
2003Q4,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.4
2003Q4,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.7
2003Q4,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.1
2003Q4,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.2
2003Q4,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.3
2003Q4,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.4
2003Q4,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),101.1
2003Q4,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),43.7
2003Q4,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.1
2003Q4,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.2
2003Q4,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.1
2003Q4,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.6
2003Q4,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),29.9
2003Q4,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),101.5
2003Q4,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.6
2003Q4,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.1
2003Q4,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.1
2003Q4,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),100.5
2003Q4,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.1
2003Q4,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),13.9
2003Q4,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),20.4
2003Q4,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.9
2003Q4,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.6
2003Q4,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.1
2003Q4,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.7
2003Q4,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.7
2003Q4,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.6
2003Q4,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.7
2003Q4,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.3
2003Q4,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.7
2003Q4,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.6
2003Q4,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.8
2003Q4,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.7
2003Q4,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.9
2003Q4,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2003Q4,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.4
2004Q1,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61.9
2004Q1,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61.9
2004Q1,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.2
2004Q1,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.5
2004Q1,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.6
2004Q1,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.6
2004Q1,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.7
2004Q1,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105
2004Q1,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),43.7
2004Q1,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),29.5
2004Q1,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.6
2004Q1,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.6
2004Q1,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.4
2004Q1,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),30.4
2004Q1,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),102.7
2004Q1,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.6
2004Q1,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.7
2004Q1,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.5
2004Q1,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),103.5
2004Q1,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.1
2004Q1,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),13.6
2004Q1,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.9
2004Q1,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.3
2004Q1,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.2
2004Q1,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.5
2004Q1,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.6
2004Q1,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.6
2004Q1,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.7
2004Q1,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.7
2004Q1,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.2
2004Q1,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),27.2
2004Q1,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.3
2004Q1,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),39.8
2004Q1,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.5
2004Q1,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.7
2004Q1,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2004Q1,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.7
2004Q2,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.5
2004Q2,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.5
2004Q2,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.8
2004Q2,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2004Q2,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.2
2004Q2,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.3
2004Q2,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.3
2004Q2,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),103.5
2004Q2,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.4
2004Q2,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),30.5
2004Q2,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.9
2004Q2,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.5
2004Q2,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.1
2004Q2,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),31
2004Q2,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106
2004Q2,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47
2004Q2,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.9
2004Q2,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.2
2004Q2,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105.1
2004Q2,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66.7
2004Q2,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),14.4
2004Q2,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),20.6
2004Q2,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.4
2004Q2,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59
2004Q2,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.2
2004Q2,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.9
2004Q2,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.2
2004Q2,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.3
2004Q2,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.2
2004Q2,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21
2004Q2,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),27.3
2004Q2,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.1
2004Q2,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.9
2004Q2,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.7
2004Q2,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.3
2004Q2,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2004Q2,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.8
2004Q3,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62
2004Q3,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.1
2004Q3,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.3
2004Q3,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.9
2004Q3,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70
2004Q3,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2004Q3,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2004Q3,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),102.3
2004Q3,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.2
2004Q3,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),29.5
2004Q3,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.2
2004Q3,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.1
2004Q3,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5
2004Q3,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),29.8
2004Q3,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.4
2004Q3,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.7
2004Q3,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.6
2004Q3,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.9
2004Q3,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.6
2004Q3,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.6
2004Q3,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),14.4
2004Q3,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),19.9
2004Q3,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.5
2004Q3,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.9
2004Q3,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.8
2004Q3,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.3
2004Q3,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.2
2004Q3,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.3
2004Q3,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.6
2004Q3,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),20.7
2004Q3,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),27
2004Q3,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.5
2004Q3,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.5
2004Q3,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.6
2004Q3,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.3
2004Q3,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2004Q3,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.9
2004Q4,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.9
2004Q4,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61
2004Q4,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61.3
2004Q4,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.4
2004Q4,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.6
2004Q4,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.6
2004Q4,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.7
2004Q4,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),96.5
2004Q4,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),36
2004Q4,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.5
2004Q4,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),44.2
2004Q4,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.8
2004Q4,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.1
2004Q4,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.2
2004Q4,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),102.9
2004Q4,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.3
2004Q4,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.7
2004Q4,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.4
2004Q4,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),100.1
2004Q4,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),64.1
2004Q4,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),14.3
2004Q4,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),18.7
2004Q4,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),7.3
2004Q4,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.5
2004Q4,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),72
2004Q4,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.9
2004Q4,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.1
2004Q4,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45.3
2004Q4,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62
2004Q4,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),18.6
2004Q4,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.8
2004Q4,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.6
2004Q4,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.7
2004Q4,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.7
2004Q4,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.8
2004Q4,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2004Q4,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.6
2005Q1,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62
2005Q1,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62
2005Q1,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.3
2005Q1,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.8
2005Q1,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.9
2005Q1,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70
2005Q1,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2005Q1,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),100.6
2005Q1,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),32.1
2005Q1,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.3
2005Q1,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),44.6
2005Q1,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66
2005Q1,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.9
2005Q1,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.3
2005Q1,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),103.2
2005Q1,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),45
2005Q1,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66.5
2005Q1,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42
2005Q1,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),103.7
2005Q1,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.9
2005Q1,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),13.5
2005Q1,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),19
2005Q1,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),7.1
2005Q1,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.2
2005Q1,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.6
2005Q1,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.7
2005Q1,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),73.4
2005Q1,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),46.5
2005Q1,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.5
2005Q1,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),16.4
2005Q1,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28
2005Q1,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.6
2005Q1,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38
2005Q1,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.7
2005Q1,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.3
2005Q1,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2005Q1,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.8
2005Q2,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.6
2005Q2,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.7
2005Q2,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63
2005Q2,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.4
2005Q2,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.6
2005Q2,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.7
2005Q2,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.7
2005Q2,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),99.1
2005Q2,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),31.7
2005Q2,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),27.8
2005Q2,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),44.1
2005Q2,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66.3
2005Q2,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.8
2005Q2,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.5
2005Q2,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106.6
2005Q2,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),43.9
2005Q2,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66.9
2005Q2,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.9
2005Q2,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106
2005Q2,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.9
2005Q2,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.6
2005Q2,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),18.1
2005Q2,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.9
2005Q2,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.7
2005Q2,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.8
2005Q2,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.9
2005Q2,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),75.7
2005Q2,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.5
2005Q2,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.2
2005Q2,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),17.3
2005Q2,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),25.8
2005Q2,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),34.6
2005Q2,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.6
2005Q2,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),47.3
2005Q2,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),39.2
2005Q2,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2005Q2,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.1
2005Q3,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.2
2005Q3,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.2
2005Q3,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.6
2005Q3,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70
2005Q3,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.1
2005Q3,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.2
2005Q3,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.3
2005Q3,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),97.9
2005Q3,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.2
2005Q3,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),27.7
